"year","leaid","lea_name","state_name","city_location","zip_location","latitude","longitude","county_name","agency_type","enrollment","est_population_5_17_poverty","est_population_5_17_poverty_pct","read_test_pct_prof_midpt","math_test_pct_prof_midpt","rev_total","salaries_total"
"2015","5301140","Centralia School District","Washington","CENTRALIA","98531","46.7271","-122.9813","Lewis County","Regular local school district","3593","939","0.256347","54","40","43956000","22629000"
"2015","5301170","Chehalis School District","Washington","CHEHALIS","98532","46.65104","-122.950651","Lewis County","Regular local school district","3026","435","0.170789","59","48","37540000","19608000"
"2015","5301200","Lake Chelan School District","Washington","CHELAN","98816","47.840771","-120.014591","Chelan County","Regular local school district","1440","279","0.225364","52","42","19167000","10113000"
"2015","5301230","Cheney School District","Washington","CHENEY","99004","47.54323","-117.547621","Spokane County","Regular local school district","4554","776","0.173292","57","44","57066000","29529000"
"2015","5301260","Chewelah School District","Washington","CHEWELAH","99109","48.27802","-117.715151","Stevens County","Regular local school district","809","279","0.286154","58","49","9591000","5625000"
"2015","5301290","Chimacum School District","Washington","CHIMACUM","98325","48.013551","-122.778257","Jefferson County","Regular local school district","1089","160","0.138648","55","36","14946000","7201000"
"2015","5301320","Clarkston School District","Washington","CLARKSTON","99403","46.411133","-117.058266","Asotin County","Regular local school district","2687","620","0.220092","58","44","31523000","17984000"
"2015","5301350","Cle Elum-Roslyn School District","Washington","CLE ELUM","98922","47.207111","-120.9794","Kittitas County","Regular local school district","902","156","0.144981","66","51","12388000","5929000"
"2015","5301380","Queets-Clearwater School District","Washington","FORKS","98331","47.539175","-124.252376","Jefferson County","Regular local school district","19","16","0.372093","Suppressed data","Suppressed data","856000","470000"
"2015","5301410","Clover Park School District","Washington","LAKEWOOD","98499","47.158129","-122.520568","Pierce County","Regular local school district","12819","3167","0.243148","53","46","214417000","92358000"
"2015","5301440","Colfax School District","Washington","COLFAX","99111","46.893913","-117.360394","Whitman County","Regular local school district","600","110","0.154712","84","75","7946000","3699000"
"2015","5301470","College Place School District","Washington","COLLEGE PLACE","99324","46.03074","-118.386581","Walla Walla County","Regular local school district","1202","391","0.203752","41","37","21006000","7433000"
"2015","5301500","Colton School District","Washington","COLTON","99113","46.566441","-117.131186","Whitman County","Regular local school district","159","30","0.130435","87","62","5942000","1441000"
"2015","5301560","Columbia (Stevens) School District","Washington","HUNTERS","99137","48.119717","-118.203028","Stevens County","Regular local school district","159","58","0.297436","52","37","3123000","1612000"
"2015","5301590","Columbia (Walla Walla) School District","Washington","BURBANK","99323","46.19899","-119.006801","Walla Walla County","Regular local school district","844","158","0.204929","49","37","11751000","5287000"
"2015","5301630","Colville School District","Washington","COLVILLE","99114","48.543134","-117.89716","Stevens County","Regular local school district","1814","481","0.260988","62","48","20882000","11022000"
"2015","5301660","Concrete School District","Washington","CONCRETE","98237","48.5317","-121.7511","Skagit County","Regular local school district","530","148","0.20442","51","40","7685000","4001000"
"2015","5301680","Conway School District","Washington","MOUNT VERNON","98274","48.340413","-122.318771","Skagit County","Regular local school district","445","47","0.084991","65","55","5882000","2912000"
